Producer,Day,Value
PA_qps,16,0.0
SD_qps,16,0.0
TN_qps,16,0.0
TX_1_qps,16,0.0
TX_10_qps,16,0.0
TX_2_qps,16,0.0
TX_3_qps,16,0.0
TX_4_qps,16,0.0
TX_5_qps,16,0.0
TX_6_qps,16,0.0
TX_7B_qps,16,0.0
TX_7C_qps,16,0.0
TX_8_qps,16,0.0
TX_8A_qps,16,0.0
TX_9_qps,16,0.0
TX_FD_qps,16,0.0
TX_ST_qps,16,0.0
UT_qps,16,0.0
VA_qps,16,0.0
WV_qps,16,0.0
WY_qps,16,0.0
AL_FD_qps,17,0.0
AL_N_qps,17,0.0
AL_S_qps,17,0.0
AL_ST_qps,17,0.0
AR_qps,17,0.0
AZ_qps,17,0.0
CA_qps,17,0.0
CA_FD_qps,17,0.0
CA_ST_qps,17,0.0
CN_W_qps,17,0.0
CO_qps,17,0.0
FL_qps,17,0.0
IL_qps,17,0.0
IN_qps,17,0.0
KS_qps,17,0.0
KY_qps,17,0.0
LA_FD_qps,17,0.0
LA_N_qps,17,0.0
LA_S_qps,17,0.0
LA_ST_qps,17,0.0
MD_qps,17,0.0
MI_qps,17,0.0
MS_FD_qps,17,0.0
MS_N_qps,17,0.0
MS_S_qps,17,0.0
MT_qps,17,0.0
MX_NE_qps,17,0.0
MX_SS_qps,17,0.0
ND_qps,17,0.0
NE_qps,17,0.0
NM_E_qps,17,0.0
NM_W_qps,17,0.0
NY_qps,17,0.0
OH_qps,17,0.0
OK_qps,17,0.0
OR_qps,17,0.0
PA_qps,17,0.0
SD_qps,17,0.0
TN_qps,17,0.0
TX_1_qps,17,0.0
TX_10_qps,17,0.0
TX_2_qps,17,0.0
TX_3_qps,17,0.0
TX_4_qps,17,0.0
TX_5_qps,17,0.0
TX_6_qps,17,0.0
TX_7B_qps,17,0.0
TX_7C_qps,17,0.0
TX_8_qps,17,0.0
TX_8A_qps,17,0.0
TX_9_qps,17,0.0
TX_FD_qps,17,0.0
TX_ST_qps,17,0.0
UT_qps,17,0.0
VA_qps,17,0.0
WV_qps,17,0.0
WY_qps,17,0.0
AL_FD_qps,18,0.0
AL_N_qps,18,0.0
AL_S_qps,18,0.0
AL_ST_qps,18,0.0
AR_qps,18,0.0
AZ_qps,18,0.0
CA_qps,18,0.0
CA_FD_qps,18,0.0
CA_ST_qps,18,0.0
CN_W_qps,18,0.0
CO_qps,18,0.0
FL_qps,18,0.0
IL_qps,18,0.0
IN_qps,18,0.0
KS_qps,18,0.0
KY_qps,18,0.0
LA_FD_qps,18,0.0
LA_N_qps,18,0.0
LA_S_qps,18,0.0
LA_ST_qps,18,0.0
MD_qps,18,0.0
MI_qps,18,0.0
MS_FD_qps,18,0.0
MS_N_qps,18,0.0
MS_S_qps,18,0.0
MT_qps,18,0.0
MX_NE_qps,18,0.0
MX_SS_qps,18,0.0
ND_qps,18,0.0
NE_qps,18,0.0
NM_E_qps,18,0.0
NM_W_qps,18,0.0
NY_qps,18,0.0
OH_qps,18,0.0
OK_qps,18,0.0
OR_qps,18,0.0
PA_qps,18,0.0
SD_qps,18,0.0
TN_qps,18,0.0
TX_1_qps,18,0.0
TX_10_qps,18,0.0
TX_2_qps,18,0.0
TX_3_qps,18,0.0
TX_4_qps,18,0.0
TX_5_qps,18,0.0
TX_6_qps,18,0.0
TX_7B_qps,18,0.0
TX_7C_qps,18,0.0
TX_8_qps,18,0.0
TX_8A_qps,18,0.0
TX_9_qps,18,0.0
TX_FD_qps,18,0.0
TX_ST_qps,18,0.0
UT_qps,18,0.0
VA_qps,18,0.0
WV_qps,18,0.0
