Node,Day,Value
TX,9,-999.0
UT,9,-999.0
VA,9,-999.0
VT,9,-999.0
WA,9,-999.0
WV,9,-999.0
WI,9,-999.0
WY,9,-999.0
ME_CN_E,9,-999.0
NH_CN_E,9,-999.0
VT_CN_E,9,-999.0
NY_CN_E,9,-999.0
MI_CN_E,9,-999.0
MN_CN_W,9,-999.0
ND_CN_W,9,-999.0
MT_CN_W,9,-999.0
ID_CN_W,9,-999.0
WA_CN_W,9,-999.0
TX_MX_NE,9,-999.0
AZ_MX_NW,9,-999.0
CA_MX_NW,9,-999.0
TX_MX_SS,9,-999.0
MX_NE,9,-999.0
MX_NW,9,-999.0
MX_IW,9,-999.0
MX_CE,9,-999.0
MX_SS,9,-999.0
CN_E,9,-999.0
CN_W,9,-999.0
AL,10,-999.0
AZ,10,-999.0
AR,10,-999.0
CA,10,-999.0
CO,10,-999.0
CT,10,-999.0
DC,10,-999.0
DE,10,-999.0
FL,10,-999.0
GA,10,-999.0
ID,10,-999.0
IL,10,-999.0
IN,10,-999.0
IA,10,-999.0
KS,10,-999.0
KY,10,-999.0
LA,10,-999.0
ME,10,-999.0
MD,10,-999.0
MA,10,-999.0
MI,10,-999.0
MN,10,-999.0
MS,10,-999.0
MO,10,-999.0
MT,10,-999.0
NE,10,-999.0
NV,10,-999.0
NH,10,-999.0
NJ,10,-999.0
NM,10,-999.0
NY,10,-999.0
NC,10,-999.0
ND,10,-999.0
OH,10,-999.0
OK,10,-999.0
OR,10,-999.0
PA,10,-999.0
RI,10,-999.0
SC,10,-999.0
SD,10,-999.0
TN,10,-999.0
TX,10,-999.0
UT,10,-999.0
VA,10,-999.0
VT,10,-999.0
WA,10,-999.0
WV,10,-999.0
WI,10,-999.0
WY,10,-999.0
ME_CN_E,10,-999.0
NH_CN_E,10,-999.0
VT_CN_E,10,-999.0
NY_CN_E,10,-999.0
MI_CN_E,10,-999.0
MN_CN_W,10,-999.0
ND_CN_W,10,-999.0
MT_CN_W,10,-999.0
ID_CN_W,10,-999.0
WA_CN_W,10,-999.0
TX_MX_NE,10,-999.0
AZ_MX_NW,10,-999.0
CA_MX_NW,10,-999.0
TX_MX_SS,10,-999.0
MX_NE,10,-999.0
MX_NW,10,-999.0
MX_IW,10,-999.0
MX_CE,10,-999.0
MX_SS,10,-999.0
CN_E,10,-999.0
CN_W,10,-999.0
AL,11,-999.0
AZ,11,-999.0
AR,11,-999.0
CA,11,-999.0
CO,11,-999.0
CT,11,-999.0
DC,11,-999.0
DE,11,-999.0
FL,11,-999.0
GA,11,-999.0
ID,11,-999.0
IL,11,-999.0
IN,11,-999.0
IA,11,-999.0
KS,11,-999.0
KY,11,-999.0
LA,11,-999.0
ME,11,-999.0
MD,11,-999.0
MA,11,-999.0
MI,11,-999.0
MN,11,-999.0
MS,11,-999.0
MO,11,-999.0
MT,11,-999.0
NE,11,-999.0
NV,11,-999.0
NH,11,-999.0
NJ,11,-999.0
NM,11,-999.0
NY,11,-999.0
NC,11,-999.0
ND,11,-999.0
OH,11,-999.0
OK,11,-999.0
OR,11,-999.0
PA,11,-999.0
RI,11,-999.0
SC,11,-999.0
SD,11,-999.0
TN,11,-999.0
TX,11,-999.0
UT,11,-999.0
VA,11,-999.0
VT,11,-999.0
WA,11,-999.0
WV,11,-999.0
WI,11,-999.0
WY,11,-999.0
ME_CN_E,11,-999.0
NH_CN_E,11,-999.0
VT_CN_E,11,-999.0
NY_CN_E,11,-999.0
MI_CN_E,11,-999.0
MN_CN_W,11,-999.0
ND_CN_W,11,-999.0
MT_CN_W,11,-999.0
ID_CN_W,11,-999.0
WA_CN_W,11,-999.0
TX_MX_NE,11,-999.0
AZ_MX_NW,11,-999.0
CA_MX_NW,11,-999.0
TX_MX_SS,11,-999.0
MX_NE,11,-999.0
MX_NW,11,-999.0
MX_IW,11,-999.0
MX_CE,11,-999.0
MX_SS,11,-999.0
CN_E,11,-999.0
CN_W,11,-999.0
AL,12,-999.0
AZ,12,-999.0
AR,12,-999.0
CA,12,-999.0
CO,12,-999.0
CT,12,-999.0
DC,12,-999.0
DE,12,-999.0
FL,12,-999.0
GA,12,-999.0
ID,12,-999.0
IL,12,-999.0
IN,12,-999.0
IA,12,-999.0
KS,12,-999.0
KY,12,-999.0
LA,12,-999.0
ME,12,-999.0
MD,12,-999.0
MA,12,-999.0
MI,12,-999.0
MN,12,-999.0
MS,12,-999.0
MO,12,-999.0
MT,12,-999.0
NE,12,-999.0
NV,12,-999.0
NH,12,-999.0
NJ,12,-999.0
NM,12,-999.0
NY,12,-999.0
NC,12,-999.0
ND,12,-999.0
OH,12,-999.0
OK,12,-999.0
OR,12,-999.0
PA,12,-999.0
RI,12,-999.0
SC,12,-999.0
SD,12,-999.0
TN,12,-999.0
TX,12,-999.0
UT,12,-999.0
VA,12,-999.0
VT,12,-999.0
WA,12,-999.0
WV,12,-999.0
WI,12,-999.0
WY,12,-999.0
ME_CN_E,12,-999.0
NH_CN_E,12,-999.0
VT_CN_E,12,-999.0
NY_CN_E,12,-999.0
MI_CN_E,12,-999.0
MN_CN_W,12,-999.0
ND_CN_W,12,-999.0
MT_CN_W,12,-999.0
ID_CN_W,12,-999.0
WA_CN_W,12,-999.0
TX_MX_NE,12,-999.0
AZ_MX_NW,12,-999.0
CA_MX_NW,12,-999.0
TX_MX_SS,12,-999.0
MX_NE,12,-999.0
MX_NW,12,-999.0
MX_IW,12,-999.0
MX_CE,12,-999.0
MX_SS,12,-999.0
CN_E,12,-999.0
CN_W,12,-999.0
AL,13,-999.0
AZ,13,-999.0
AR,13,-999.0
CA,13,-999.0
CO,13,-999.0
CT,13,-999.0
DC,13,-999.0
DE,13,-999.0
FL,13,-999.0
GA,13,-999.0
ID,13,-999.0
IL,13,-999.0
IN,13,-999.0
IA,13,-999.0
KS,13,-999.0
KY,13,-999.0
LA,13,-999.0
ME,13,-999.0
MD,13,-999.0
MA,13,-999.0
MI,13,-999.0
MN,13,-999.0
MS,13,-999.0
MO,13,-999.0
MT,13,-999.0
NE,13,-999.0
NV,13,-999.0
NH,13,-999.0
NJ,13,-999.0
NM,13,-999.0
NY,13,-999.0
NC,13,-999.0
ND,13,-999.0
OH,13,-999.0
OK,13,-999.0
OR,13,-999.0
PA,13,-999.0
RI,13,-999.0
SC,13,-999.0
SD,13,-999.0
TN,13,-999.0
TX,13,-999.0
UT,13,-999.0
VA,13,-999.0
VT,13,-999.0
WA,13,-999.0
WV,13,-999.0
WI,13,-999.0
WY,13,-999.0
ME_CN_E,13,-999.0
NH_CN_E,13,-999.0
VT_CN_E,13,-999.0
NY_CN_E,13,-999.0
MI_CN_E,13,-999.0
MN_CN_W,13,-999.0
ND_CN_W,13,-999.0
MT_CN_W,13,-999.0
ID_CN_W,13,-999.0
WA_CN_W,13,-999.0
TX_MX_NE,13,-999.0
AZ_MX_NW,13,-999.0
CA_MX_NW,13,-999.0
TX_MX_SS,13,-999.0
MX_NE,13,-999.0
MX_NW,13,-999.0
MX_IW,13,-999.0
MX_CE,13,-999.0
MX_SS,13,-999.0
CN_E,13,-999.0
CN_W,13,-999.0
AL,14,-999.0
AZ,14,-999.0
AR,14,-999.0
CA,14,-999.0
CO,14,-999.0
CT,14,-999.0
DC,14,-999.0
DE,14,-999.0
FL,14,-999.0
GA,14,-999.0
ID,14,-999.0
IL,14,-999.0
IN,14,-999.0
IA,14,-999.0
KS,14,-999.0
KY,14,-999.0
LA,14,-999.0
ME,14,-999.0
MD,14,-999.0
MA,14,-999.0
MI,14,-999.0
MN,14,-999.0
MS,14,-999.0
MO,14,-999.0
MT,14,-999.0
NE,14,-999.0
NV,14,-999.0
NH,14,-999.0
