date,AL,AR,CA,CO,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NE,NM,NY,OH,OK,OR,PA,TN,TX,UT,VA,WA,WV,WY
2019-07-16,0.006096790932501026,0.001635817560819171,0.6381450202074876,0.15412179912372417,0.3159197601821325,1.0620549031869597,0.11324540185729194,0.02261821248589792,0.3763749012013243,0.08212956093842026,0.04037063109278494,2.3920378278964343,0.006996108205510447,0.012788885799673098,0.0372182505156383,0.4183341120373519,0.026804299013911907,0.12654862685217683,0.2812427405331003,0.5597844122964618,0.035970437879390825,0.03416263324621464,0.9433062195026313,0.006296497384959403,0.1000452154016182,0.11638880874003649,0.010875803895487963,0.04197806083201199,0.5929916212509622,0.15780235423279873
2019-07-17,0.006096790932501026,0.001635817560819171,0.6381450202074876,0.15412179912372417,0.3159197601821325,1.0620549031869597,0.11324540185729194,0.02261821248589792,0.3763749012013243,0.08212956093842026,0.04037063109278494,2.3920378278964343,0.006996108205510447,0.012788885799673098,0.0372182505156383,0.4183341120373519,0.026804299013911907,0.12654862685217683,0.2812427405331003,0.5597844122964618,0.035970437879390825,0.03416263324621464,0.9433062195026313,0.006296497384959403,0.1000452154016182,0.11638880874003649,0.010875803895487963,0.04197806083201199,0.5929916212509622,0.15780235423279873
2019-07-18,0.006096790932501026,0.001635817560819171,0.6381450202074876,0.15412179912372417,0.3159197601821325,1.0620549031869597,0.11324540185729194,0.02261821248589792,0.3763749012013243,0.08212956093842026,0.04037063109278494,2.3920378278964343,0.006996108205510447,0.012788885799673098,0.0372182505156383,0.4183341120373519,0.026804299013911907,0.12654862685217683,0.2812427405331003,0.5597844122964618,0.035970437879390825,0.03416263324621464,0.9433062195026313,0.006296497384959403,0.1000452154016182,0.11638880874003649,0.010875803895487963,0.04197806083201199,0.5929916212509622,0.15780235423279873
2019-07-19,-0.024387163730004106,-0.006543270243276684,0.38288701212449255,0.08806959949927096,0.24220514947296826,0.8142420924433358,0.08682147475725716,-0.09047284994359168,0.28855409092101525,-0.32851824375368105,0.03324640207641113,1.8338956680539331,0.005363682957558009,0.00980481244641604,-0.1488730020625532,0.23904806402134393,0.015316742293663945,0.07231350105838676,0.23161166867431787,0.4609989277735568,-0.1438817515175633,0.020497579947728783,0.7768404160609905,0.004827314661802209,-0.4001808616064728,0.06650789070859227,0.0089565443845195,0.025186836499207194,0.4883460410302042,0.09017277384731355
2019-07-20,-0.024387163730004106,-0.006543270243276684,0.38288701212449255,0.08806959949927096,0.24220514947296826,0.8142420924433358,0.08682147475725716,-0.09047284994359168,0.28855409092101525,-0.32851824375368105,0.03324640207641113,1.8338956680539331,0.005363682957558009,0.00980481244641604,-0.1488730020625532,0.23904806402134393,0.015316742293663945,0.07231350105838676,0.23161166867431787,0.4609989277735568,-0.1438817515175633,0.020497579947728783,0.7768404160609905,0.004827314661802209,-0.4001808616064728,0.06650789070859227,0.0089565443845195,0.025186836499207194,0.4883460410302042,0.09017277384731355
2019-07-21,-0.024387163730004106,-0.006543270243276684,0.38288701212449255,0.08806959949927096,0.24220514947296826,0.8142420924433358,0.08682147475725716,-0.09047284994359168,0.28855409092101525,-0.32851824375368105,0.03324640207641113,1.8338956680539331,0.005363682957558009,0.00980481244641604,-0.1488730020625532,0.23904806402134393,0.015316742293663945,0.07231350105838676,0.23161166867431787,0.4609989277735568,-0.1438817515175633,0.020497579947728783,0.7768404160609905,0.004827314661802209,-0.4001808616064728,0.06650789070859227,0.0089565443845195,0.025186836499207194,0.4883460410302042,0.09017277384731355
2019-07-22,-0.024387163730004106,-0.006543270243276684,0.38288701212449255,0.08806959949927096,0.24220514947296826,0.8142420924433358,0.08682147475725716,-0.09047284994359168,0.28855409092101525,-0.32851824375368105,0.03324640207641113,1.8338956680539331,0.005363682957558009,0.00980481244641604,-0.1488730020625532,0.23904806402134393,0.015316742293663945,0.07231350105838676,0.23161166867431787,0.4609989277735568,-0.1438817515175633,0.020497579947728783,0.7768404160609905,0.004827314661802209,-0.4001808616064728,0.06650789070859227,0.0089565443845195,0.025186836499207194,0.4883460410302042,0.09017277384731355
2019-07-23,-0.024387163730004106,-0.006543270243276684,0.38288701212449255,0.08806959949927096,0.24220514947296826,0.8142420924433358,0.08682147475725716,-0.09047284994359168,0.28855409092101525,-0.32851824375368105,0.03324640207641113,1.8338956680539331,0.005363682957558009,0.00980481244641604,-0.1488730020625532,0.23904806402134393,0.015316742293663945,0.07231350105838676,0.23161166867431787,0.4609989277735568,-0.1438817515175633,0.020497579947728783,0.7768404160609905,0.004827314661802209,-0.4001808616064728,0.06650789070859227,0.0089565443845195,0.025186836499207194,0.4883460410302042,0.09017277384731355
2019-07-24,-0.024387163730004106,-0.006543270243276684,0.38288701212449255,0.08806959949927096,0.24220514947296826,0.8142420924433358,0.08682147475725716,-0.09047284994359168,0.28855409092101525,-0.32851824375368105,0.03324640207641113,1.8338956680539331,0.005363682957558009,0.00980481244641604,-0.1488730020625532,0.23904806402134393,0.015316742293663945,0.07231350105838676,0.23161166867431787,0.4609989277735568,-0.1438817515175633,0.020497579947728783,0.7768404160609905,0.004827314661802209,-0.4001808616064728,0.06650789070859227,0.0089565443845195,0.025186836499207194,0.4883460410302042,0.09017277384731355
2019-07-25,-0.024387163730004106,-0.006543270243276684,0.38288701212449255,0.08806959949927096,0.24220514947296826,0.8142420924433358,0.08682147475725716,-0.09047284994359168,0.28855409092101525,-0.32851824375368105,0.03324640207641113,1.8338956680539331,0.005363682957558009,0.00980481244641604,-0.1488730020625532,0.23904806402134393,0.015316742293663945,0.07231350105838676,0.23161166867431787,0.4609989277735568,-0.1438817515175633,0.020497579947728783,0.7768404160609905,0.004827314661802209,-0.4001808616064728,0.06650789070859227,0.0089565443845195,0.025186836499207194,0.4883460410302042,0.09017277384731355
