Date,AK,AZ,CA,FL,GA,ID,LA,MD,ME,MI,MN,MT,ND,NH,NJ,NY,TX,WA
2015-03-25,0.0,141.73212825277898,322.6501948263444,0.0,0.0,0.0,0.0,0.0,17.03042310655015,2328.6390453536774,17.830410473203326,0.1463403328234367,0.0,0.0,0.0,480.3547324420792,1978.3282891701544,8.86355086587563
2015-03-26,0.0,142.04639017795142,323.3656054578883,0.0,0.0,0.0,0.0,0.0,17.06818457685292,2333.802324833397,17.86994575141442,0.14666481249710286,0.0,0.0,0.0,481.4198205406203,1982.7148263966956,8.883203972008396
2015-03-27,0.0,142.3606521031239,324.08101608943235,0.0,0.0,0.0,0.0,0.0,17.10594604715569,2338.9656043131167,17.909481029625514,0.14698929217076898,0.0,0.0,0.0,482.4849086391616,1987.101363623237,8.902857078141155
2015-03-28,0.0,142.67491402829634,324.7964267209763,0.0,0.0,0.0,0.0,0.0,17.143707517458466,2344.1288837928373,17.94901630783661,0.1473137718444352,0.0,0.0,0.0,483.5499967377028,1991.4879008497783,8.922510184273918
2015-03-29,0.0,142.98917595346882,325.5118373525203,0.0,0.0,0.0,0.0,0.0,17.181468987761235,2349.292163272557,17.988551586047702,0.14763825151810134,0.0,0.0,0.0,484.61508483624397,1995.8744380763194,8.94216329040668
2015-03-30,0.0,143.3034378786413,326.2272479840643,0.0,0.0,0.0,0.0,0.0,17.219230458064008,2354.4554427522767,18.0280868642588,0.1479627311917675,0.0,0.0,0.0,485.68017293478516,2000.260975302861,8.961816396539442
2015-03-31,0.0,143.61769980381374,326.94265861560825,0.0,0.0,0.0,0.0,0.0,17.25699192836678,2359.618722231997,18.06762214246989,0.14828721086543364,0.0,0.0,0.0,486.7452610333264,2004.647512529402,8.981469502672205
2015-04-01,0.0,143.93196172898618,327.6580692471523,0.0,0.0,0.0,0.0,0.0,17.294753398669553,2364.782001711717,18.10715742068098,0.1486116905390998,0.0,0.0,0.0,487.81034913186755,2009.034049755944,9.001122608804966
2015-04-02,0.0,144.24622365415865,328.3734798786963,0.0,0.0,0.0,0.0,0.0,17.332514868972325,2369.945281191436,18.14669269889208,0.14893617021276595,0.0,0.0,0.0,488.8754372304087,2013.420586982485,9.020775714937727
2015-04-03,0.0,144.56048557933113,329.08889051024033,0.0,0.0,0.0,0.0,0.0,17.370276339275097,2375.108560671156,18.18622797710317,0.1492606498864321,0.0,0.0,0.0,489.94052532894995,2017.8071242090264,9.04042882107049
2015-04-04,0.0,144.87474750450355,329.80430114178426,0.0,0.0,0.0,0.0,0.0,17.408037809577866,2380.2718401508764,18.225763255314263,0.14958512956009826,0.0,0.0,0.0,491.00561342749114,2022.1936614355677,9.06008192720325
2015-04-05,0.0,145.18900942967602,330.5197117733283,0.0,0.0,0.0,0.0,0.0,17.44579927988064,2385.4351196305956,18.26529853352536,0.14990960923376442,0.0,0.0,0.0,492.07070152603234,2026.580198662109,9.079735033336013
2015-04-06,0.0,145.50327135484847,331.23512240487224,0.0,0.0,0.0,0.0,0.0,17.48356075018341,2390.5983991103158,18.30483381173645,0.15023408890743056,0.0,0.0,0.0,493.13578962457353,2030.9667358886504,9.099388139468775
2015-04-07,0.0,145.8175332800209,331.95053303641623,0.0,0.0,0.0,0.0,0.0,17.521322220486184,2395.7616785900364,18.34436908994755,0.15055856858109673,0.0,0.0,0.0,494.20087772311473,2035.353273115192,9.119041245601538
2015-04-08,0.0,151.52363194993802,331.46624512897307,0.0,0.0,0.0,0.0,0.0,17.66047472522396,2322.82891363332,17.430915207897474,0.1508830482547629,0.0,0.47167114794423814,0.0,494.11455493856033,2042.11505320676,9.495752628318453
2015-04-09,0.0,156.91546869468263,330.2665465899858,0.0,0.0,0.0,0.0,0.0,17.761865759658956,2244.732869196885,16.477926047636313,0.1508830482547629,0.0,0.9433422958884763,0.0,492.9631440554647,2044.4902960717866,9.852810904902608
2015-04-10,0.0,162.30730543942724,329.06684805099854,0.0,0.0,0.0,0.0,0.0,17.86325679409396,2166.63682476045,15.524936887375146,0.1508830482547629,0.0,1.4150134438327144,0.0,491.81173317236914,2046.8655389368137,10.209869181486761
2015-04-11,0.0,167.69914218417185,327.8671495120114,0.0,0.0,0.0,0.0,0.0,17.964647828528964,2088.5407803240146,14.571947727113983,0.1508830482547629,0.0,1.8866845917769526,0.0,490.66032228927355,2049.24078180184,10.566927458070916
2015-04-12,0.0,173.09097892891646,326.66745097302413,0.0,0.0,0.0,0.0,0.0,18.066038862963964,2010.4447358875793,13.618958566852818,0.1508830482547629,0.0,2.358355739721191,0.0,489.50891140617796,2051.616024666867,10.923985734655073
2015-04-13,0.0,178.4828156736611,325.4677524340369,0.0,0.0,0.0,0.0,0.0,18.167429897398964,1932.348691451144,12.665969406591653,0.1508830482547629,0.0,2.830026887665429,0.0,488.3575005230823,2053.9912675318938,11.281044011239224
2015-04-14,0.0,183.8746524184057,324.2680538950497,0.0,0.0,0.0,0.0,0.0,18.268820931833968,1854.252647014709,11.712980246330488,0.1508830482547629,0.0,3.3016980356096672,0.0,487.2060896399867,2056.3665103969206,11.638102287823381
2015-04-15,0.0,189.26648916315034,323.0683553560625,0.0,0.0,0.0,0.0,0.0,18.370211966268972,1776.1566025782738,10.759991086069324,0.1508830482547629,0.0,3.773369183553905,0.0,486.05467875689106,2058.7417532619475,11.995160564407533
2015-04-16,0.0,194.65832590789495,321.86865681707525,0.0,0.0,0.0,0.0,0.0,18.471603000703972,1698.0605581418383,9.807001925808159,0.1508830482547629,0.0,4.245040331498143,0.0,484.9032678737956,2061.116996126974,12.35221884099169
2015-04-17,0.0,200.05016265263956,320.668958278088,0.0,0.0,0.0,0.0,0.0,18.57299403513897,1619.964513705403,8.854012765546992,0.1508830482547629,0.0,4.716711479442382,0.0,483.75185699069993,2063.492238992001,12.70927711757584
2015-04-18,0.0,205.44199939738417,319.46925973910083,0.0,0.0,0.0,0.0,0.0,18.674385069573972,1541.8684692689678,7.901023605285829,0.1508830482547629,0.0,5.188382627386619,0.0,482.60044610760434,2065.8674818570275,13.066335394159998
2015-04-19,0.0,210.83383614212877,318.26956120011357,0.0,0.0,0.0,0.0,0.0,18.775776104008976,1463.7724248325326,6.948034445024663,0.1508830482547629,0.0,5.660053775330858,0.0,481.4490352245087,2068.2427247220544,13.423393670744153
2015-04-20,0.0,216.22567288687338,317.06986266112636,0.0,0.0,0.0,0.0,0.0,18.877167138443976,1385.6763803960973,5.995045284763497,0.1508830482547629,0.0,6.131724923275096,0.0,480.29762434141304,2070.6179675870812,13.780451947328306
2015-04-21,0.0,221.61750963161802,315.87016412213916,0.0,0.0,0.0,0.0,0.0,18.97855817287898,1307.5803359596623,5.0420561245023325,0.1508830482547629,0.0,6.6033960712193345,0.0,479.1462134583175,2072.9932104521076,14.137510223912459
2015-04-22,0.0,227.00934637636266,314.67046558315195,0.0,0.0,0.0,0.0,0.0,19.07994920731398,1229.484291523227,4.0890669642411686,0.1508830482547629,0.0,7.075067219163572,0.0,477.99480257522185,2075.3684533171345,14.494568500496614
2015-04-23,0.0,227.00934637636266,314.67046558315195,0.0,0.0,0.0,0.0,0.0,19.07994920731398,1229.484291523227,4.0890669642411686,0.1508830482547629,0.0,7.075067219163572,0.0,477.99480257522185,2075.3684533171345,14.494568500496614
2015-04-24,0.0,226.52115423361778,313.99375490447846,0.0,0.0,0.0,0.0,0.0,19.038917058481047,1226.840239283392,4.080273271844951,0.15055856858109673,0.0,7.059852020842791,0.0,476.96685676323216,2070.9052953530118,14.463397385441782
2015-04-25,0.0,226.03296209087293,313.31704422580503,0.0,0.0,0.0,0.0,0.0,18.99788490964811,1224.1961870435573,4.071479579448733,0.15023408890743056,0.0,7.044636822522008,0.0,475.93891095124246,2066.4421373888886,14.432226270386952
2015-04-26,0.0,225.54476994812808,312.64033354713155,0.0,0.0,0.0,0.0,0.0,18.956852760815178,1221.5521348037223,4.062685887052515,0.14990960923376442,0.0,7.029421624201227,0.0,474.9109651392527,2061.978979424766,14.40105515533212
2015-04-27,0.0,225.0565778053832,311.96362286845806,0.0,0.0,0.0,0.0,0.0,18.91582061198225,1218.9080825638873,4.0538921946562985,0.14958512956009826,0.0,7.014206425880444,0.0,473.883019327263,2057.515821460643,14.369884040277288
2015-04-28,0.0,224.56838566263832,311.2869121897847,0.0,0.0,0.0,0.0,0.0,18.874788463149315,1216.2640303240526,4.045098502260081,0.1492606498864321,0.0,6.998991227559663,0.0,472.85507351527326,2053.05266349652,14.338712925222458
2015-04-29,0.0,224.08019351989347,310.6102015111113,0.0,0.0,0.0,0.0,0.0,18.833756314316386,1213.6199780842176,4.036304809863863,0.14893617021276595,0.0,6.983776029238881,0.0,471.82712770328357,2048.589505532397,14.307541810167624
2015-04-30,0.0,223.5920013771486,309.9334908324378,0.0,0.0,0.0,0.0,0.0,18.79272416548345,1210.9759258443826,4.027511117467645,0.1486116905390998,0.0,6.9685608309181,0.0,470.7991818912938,2044.1263475682745,14.276370695112798
2015-05-01,0.0,223.1038092344037,309.2567801537644,0.0,0.0,0.0,0.0,0.0,18.751692016650516,1208.3318736045478,4.018717425071428,0.14828721086543364,0.0,6.953345632597316,0.0,469.7712360793041,2039.6631896041517,14.245199580057964
2015-05-02,0.0,222.61561709165886,308.58006947509097,0.0,0.0,0.0,0.0,0.0,18.710659867817583,1205.687821364713,4.00992373267521,0.14796273119176748,0.0,6.938130434276535,0.0,468.7432902673143,2035.2000316400288,14.214028465003132
2015-05-03,0.0,222.127424948914,307.9033587964175,0.0,0.0,0.0,0.0,0.0,18.66962771898465,1203.043769124878,4.001130040278992,0.14763825151810134,0.0,6.922915235955753,0.0,467.71534445532467,2030.7368736759058,14.1828573499483
2015-05-04,0.0,221.6392328061691,307.22664811774405,0.0,0.0,0.0,0.0,0.0,18.628595570151713,1200.399716885043,3.9923363478827754,0.1473137718444352,0.0,6.907700037634971,0.0,466.687398643335,2026.273715711783,14.15168623489347
2015-05-05,0.0,221.15104066342425,306.5499374390706,0.0,0.0,0.0,0.0,0.0,18.587563421318784,1197.7556646452085,3.9835426554865574,0.14698929217076898,0.0,6.89248483931419,0.0,465.6594528313452,2021.8105577476601,14.120515119838636
2015-05-06,0.0,220.66284852067938,305.87322676039713,0.0,0.0,0.0,0.0,0.0,18.546531272485847,1195.1116124053733,3.9747489630903403,0.14666481249710286,0.0,6.877269640993408,0.0,464.63150701935547,2017.3473997835374,14.089344004783808
2015-05-07,0.0,220.17465637793453,305.1965160817237,0.0,0.0,0.0,0.0,0.0,18.505499123652918,1192.4675601655388,3.9659552706941223,0.1463403328234367,0.0,6.862054442672625,0.0,463.6035612073657,2012.8842418194145,14.058172889728974
2015-05-08,5.89491953285276,223.24037559174826,302.6286054798398,0.0,0.0,0.0,0.0,0.0,20.121362984758537,1169.257802471775,4.613418126544555,0.14601585314977053,0.0,6.701797166901399,0.0,464.3329006523764,2027.8299647768213,13.091868323029201
2015-05-09,11.78983906570552,226.79428694830685,300.7374055566293,0.0,0.0,0.0,0.0,0.0,21.778258994697094,1148.6920970178462,5.269674674791205,0.14601585314977053,0.0,6.556755089450955,0.0,466.0901859093769,2047.2388456983508,12.156734871384257
2015-05-10,17.684758598558282,230.34819830486543,298.8462056334189,0.0,0.0,0.0,0.0,0.0,23.435155004635654,1128.1263915639174,5.925931223037854,0.14601585314977053,0.0,6.411713012000512,0.0,467.8474711663773,2066.6477266198804,11.221601419739315
2015-05-11,23.57967813141104,233.90210966142402,296.95500571020847,0.0,0.0,0.0,0.0,0.0,25.092051014574206,1107.5606861099886,6.582187771284505,0.14601585314977053,0.0,6.266670934550068,0.0,469.60475642337775,2086.05660754141,10.286467968094371
2015-05-12,29.474597664263804,237.4560210179826,295.063805786998,0.0,0.0,0.0,0.0,0.0,26.748947024512763,1086.99498065606,7.238444319531155,0.14601585314977053,0.0,6.1216288570996245,0.0,471.3620416803781,2105.46548846294,9.351334516449429
2015-05-13,35.369517197116565,241.0099323745412,293.1726058637875,0.0,0.0,0.0,0.0,0.0,28.405843034451323,1066.4292752021313,7.894700867777804,0.14601585314977053,0.0,5.97658677964918,0.0,473.1193269373786,2124.8743693844694,8.416201064804486
2015-05-14,41.264436729969326,244.5638437310998,291.28140594057703,0.0,0.0,0.0,0.0,0.0,30.06273904438988,1045.8635697482027,8.550957416024453,0.14601585314977053,0.0,5.831544702198735,0.0,474.87661219437905,2144.283250305999,7.481067613159543
2015-05-15,47.15935626282208,248.11775508765837,289.3902060173666,0.0,0.0,0.0,0.0,0.0,31.719635054328432,1025.2978642942737,9.207213964271103,0.14601585314977053,0.0,5.686502624748291,0.0,476.6338974513794,2163.6921312275285,6.545934161514601
2015-05-16,53.05427579567484,251.67166644421698,287.4990060941562,0.0,0.0,0.0,0.0,0.0,33.37653106426699,1004.7321588403452,9.863470512517752,0.14601585314977053,0.0,5.541460547297847,0.0,478.39118270837986,2183.1010121490585,5.6108007098696575
2015-05-17,58.94919532852761,255.22557780077554,285.60780617094565,0.0,0.0,0.0,0.0,0.0,35.03342707420555,984.1664533864163,10.519727060764401,0.14601585314977053,0.0,5.396418469847404,0.0,480.14846796538035,2202.5098930705876,4.675667258224714
2015-05-18,64.84411486138036,258.7794891573342,283.7166062477352,0.0,0.0,0.0,0.0,0.0,36.690323084144104,963.6007479324878,11.175983609011052,0.14601585314977053,0.0,5.25137639239696,0.0,481.9057532223808,2221.9187739921176,3.7405338065797715
2015-05-19,70.73903439423313,262.33340051389274,281.8254063245247,0.0,0.0,0.0,0.0,0.0,38.34721909408267,943.035042478559,11.832240157257704,0.14601585314977053,0.0,5.106334314946516,0.0,483.6630384793811,2241.327654913647,2.8054003549348288
2015-05-20,76.63395392708588,265.8873118704514,279.93420640131427,0.0,0.0,0.0,0.0,0.0,40.00411510402122,922.4693370246302,12.488496705504353,0.14601585314977053,0.0,4.961292237496071,0.0,485.4203237363816,2260.7365358351767,1.8702669032898858
2015-05-21,82.52887345993865,269.44122322700997,278.0430064781039,0.0,0.0,0.0,0.0,0.0,41.66101111395977,901.9036315707015,13.144753253751004,0.14601585314977053,0.0,4.816250160045628,0.0,487.177608993382,2280.145416756706,0.9351334516449429
2015-05-22,88.4237929927914,272.99513458356853,276.15180655489337,0.0,0.0,0.0,0.0,0.0,43.31790712389833,881.3379261167729,13.801009801997653,0.14601585314977053,0.0,4.671208082595183,0.0,488.93489425038246,2299.554297678236,0.0
2015-05-23,88.4237929927914,272.99513458356853,276.15180655489337,0.0,0.0,0.0,0.0,0.0,43.31790712389833,881.3379261167729,13.801009801997653,0.14601585314977053,0.0,4.671208082595183,0.0,488.93489425038246,2299.554297678236,0.0
2015-05-24,88.4237929927914,272.99513458356853,276.15180655489337,0.0,0.0,0.0,0.0,0.0,43.31790712389833,881.3379261167729,13.801009801997653,0.14601585314977053,0.0,4.671208082595183,0.0,488.93489425038246,2299.554297678236,0.0
2015-05-25,88.62029031055316,273.6017904381987,276.7654772361265,0.0,0.0,0.0,0.0,0.0,43.41416913972921,883.2964548414767,13.831678712668758,0.1463403328234367,0.0,4.68158854500095,0.0,490.02141623760554,2304.664418339743,0.0
2015-05-26,88.81678762831493,274.20844629282885,277.3791479173596,0.0,0.0,0.0,0.0,0.0,43.510431155560106,885.2549835661806,13.862347623339863,0.14666481249710286,0.0,4.691969007406717,0.0,491.1079382248286,2309.77453900125,0.0
2015-05-27,89.01328494607668,274.815102147459,277.99281859859263,0.0,0.0,0.0,0.0,0.0,43.60669317139098,887.2135122908848,13.893016534010972,0.14698929217076898,0.0,4.702349469812484,0.0,492.1944602120517,2314.8846596627577,0.0
2015-05-28,89.20978226383845,275.4217580020891,278.6064892798258,0.0,0.0,0.0,0.0,0.0,43.70295518722187,889.1720410155887,13.923685444682075,0.1473137718444352,0.0,4.712729932218252,0.0,493.2809821992747,2319.994780324265,0.0
2015-05-29,89.40627958160019,276.02841385671934,279.22015996105887,0.0,0.0,0.0,0.0,0.0,43.799217203052756,891.1305697402926,13.95435435535318,0.14763825151810134,0.0,4.723110394624019,0.0,494.36750418649774,2325.1049009857716,0.0
2015-05-30,89.60277689936196,276.63506971134944,279.8338306422919,0.0,0.0,0.0,0.0,0.0,43.895479218883644,893.0890984649966,13.985023266024287,0.14796273119176748,0.0,4.733490857029785,0.0,495.4540261737209,2330.215021647279,0.0
2015-05-31,89.79927421712371,277.2417255659796,280.44750132352505,0.0,0.0,0.0,0.0,0.0,43.99174123471453,895.0476271897005,14.015692176695394,0.14828721086543364,0.0,4.743871319435553,0.0,496.5405481609439,2335.3251423087863,0.0
2015-06-01,89.99577153488548,277.8483814206097,281.0611720047582,0.0,0.0,0.0,0.0,0.0,44.088003250545405,897.0061559144043,14.0463610873665,0.1486116905390998,0.0,4.754251781841319,0.0,497.62707014816704,2340.435262970294,0.0
2015-06-02,90.19226885264725,278.45503727523993,281.6748426859913,0.0,0.0,0.0,0.0,0.0,44.1842652663763,898.9646846391082,14.077029998037604,0.14893617021276592,0.0,4.764632244247086,0.0,498.71359213539006,2345.5453836318006,0.0
2015-06-03,90.38876617040899,279.0616931298701,282.28851336722437,0.0,0.0,0.0,0.0,0.0,44.28052728220718,900.9232133638122,14.107698908708711,0.1492606498864321,0.0,4.775012706652853,0.0,499.80011412261314,2350.655504293308,0.0
2015-06-04,90.58526348817075,279.6683489845002,282.90218404845746,0.0,0.0,0.0,0.0,0.0,44.37678929803806,902.8817420885161,14.138367819379816,0.14958512956009826,0.0,4.785393169058621,0.0,500.8866361098362,2355.7656249548154,0.0
2015-06-05,90.7817608059325,280.27500483913036,283.51585472969055,0.0,0.0,0.0,0.0,0.0,44.47305131386896,904.8402708132202,14.169036730050921,0.14990960923376442,0.0,4.795773631464387,0.0,501.9731580970593,2360.875745616322,0.0
2015-06-06,90.97825812369427,280.8816606937605,284.12952541092363,0.0,0.0,0.0,0.0,0.0,44.56931332969983,906.7987995379241,14.199705640722026,0.15023408890743056,0.0,4.8061540938701555,0.0,503.05968008428226,2365.9858662778297,0.0
2015-06-07,91.17475544145604,281.4883165483907,284.7431960921567,0.0,0.0,0.0,0.0,0.0,44.66557534553071,908.757328262628,14.230374551393135,0.15055856858109673,0.0,4.816534556275922,0.0,504.1462020715054,2371.095986939337,0.0
2015-06-08,91.38455279600952,286.2926138321101,289.0583485365359,0.0,0.0,0.0,0.0,0.0,45.6121394456006,909.709984270649,13.97266849158332,0.1508830482547629,0.0,4.7078951963032365,0.0,504.0813131756329,2377.078692050305,1.9251184003243567
2015-06-09,91.39785283280125,290.49025526119937,292.75983029968205,0.0,0.0,0.0,0.0,0.0,46.462441529839595,908.704111553966,13.6842935211024,0.1508830482547629,0.0,4.588875373924784,0.0,502.9299022925373,2377.9512764997667,3.8502368006487133
